Source,Teff[K],Luminosity[Lsun],Ref,e_Teff[K],e_Luminosity[Lsun],logmass[Msun],lw_logmass[Msun],up_logmass[Msun],logage[yrs],lw_logage[yrs],up_logage[yrs],mass[Msun],lw_mass[Msun],up_mass[Msun],age[Myrs],lw_age[Myrs],up_age[Myrs],flag
J11074366-7739411,3705.0,0.3,M16b,170.62155539085884,0.06907755278982136,-0.3199999999999985,-0.4399999999999986,-0.1999999999999984,6.398970004336004,6.11897000433601,6.678970004335998,0.47863009232264,0.3630780547701025,0.6309573444801956,2.505936168136275,1.3151339959476638,4.774962930106949,good
J11074656-7615174,2935.0,0.007,M16b,67.58087247937524,0.0016118095650958326,-1.1499999999999992,-1.2399999999999993,-1.0499999999999992,7.0689700043359895,6.878970004335994,7.248970004335986,0.07079457843841391,0.057543993733715784,0.08912509381337473,11.72114407659882,7.567806242180602,17.74066946167742,good
J11075730-7717262,3669.0,0.22,L07,168.9636941239032,0.05065687204586902,-0.3099999999999985,-0.4199999999999986,-0.1799999999999984,6.568970004336,6.278970004336006,6.868970004335994,0.4897788193684479,0.3801893963205624,0.6606934480075984,3.706551206504429,1.9009469816027516,7.395541940840611,good
J11075792-7738449,4350.0,0.51,M16a,200.32490309048205,0.11743183974269636,-0.005757490560674293,-0.045757490560674366,0.07424250943932574,6.748970004335996,6.488970004336002,7.008970004335991,0.9868303765288684,0.9000000000000016,1.1864310647007688,5.610092271509528,3.0829750093072907,10.208689723346989,good
J11075809-7742413,3415.0,0.16,M16b,78.63328092574669,0.036841361487904734,-0.5199999999999987,-0.5899999999999987,-0.4499999999999986,6.398970004336004,6.208970004336008,6.588970004336,0.30199517204020254,0.2570395782768871,0.3548133892335766,2.505936168136275,1.6179682846481007,3.8812355831432885,good
J11080002-7717304,4060.0,0.972,M16b,186.9699095511166,0.22381127103902126,-0.1757574905606745,-0.2757574905606746,-0.06575749056067437,5.988970004336013,5.698970004336019,6.1789700043360085,0.6671792171708267,0.5299592898200307,0.8594933274192939,0.9749222998790087,0.49999999999999994,1.5099758602009723,good
J11080148-7742288,4060.0,1.64,M16a,186.9699095511166,0.37762395525102355,-0.19575749056067449,-0.28575749056067457,-0.09575749056067437,5.7589700043360175,5.698970004336019,5.868970004336015,0.637151205945725,0.5178959436034419,0.8021258443203724,0.5740768107484396,0.49999999999999994,0.7395541940840974,good
J11080297-7738425,3705.0,0.12,M16a,170.62155539085884,0.027631021115928547,-0.2099999999999984,-0.2999999999999985,-0.11999999999999834,7.0689700043359895,6.778970004335996,7.368970004335983,0.6165950018614844,0.501187233627274,0.7585775750291867,11.72114407659882,6.011322173086745,23.38675706435799,good
J11081509-7733531,5110.0,1.26,M16a,235.32419650399152,0.2901257217172498,0.12424250943932579,0.09424250943932577,0.17424250943932587,6.8389700043359944,6.588970004336,7.098970004335989,1.3311975493513895,1.242345838142599,1.493628216693808,6.901921323014037,3.8812355831432885,12.559432157547036,good
J11081850-7730408,2935.0,0.01,M16b,67.58087247937524,0.002302585092994046,-1.1499999999999992,-1.2499999999999993,-1.0399999999999991,6.888970004335993,6.668970004335998,7.04897000433599,0.07079457843841391,0.056234132519034995,0.09120108393559115,7.744083094561953,4.666271503984732,11.193605692840954,good
J11082238-7730277,3060.0,0.03,M16a,70.45910384561783,0.006907755278982137,-0.919999999999999,-1.0099999999999991,-0.819999999999999,6.6489700043359985,6.478970004336002,6.808970004335995,0.12022644346174155,0.09772372209558126,0.15135612484362118,4.456254690668519,3.012797930371673,6.441247758465318,good
J11082570-7716396,2710.0,0.0014,L07,62.400056020138656,0.0003223619130191665,-1.4399999999999995,-1.5599999999999996,-1.2799999999999994,6.48,,,0.03630780547701017,0.02754228703338169,0.052480746024977334,3.019951720402019,,,toofaint
J11082650-7715550,3060.0,0.014,M16b,70.45910384561783,0.0032236191301916644,-0.9799999999999991,-1.0799999999999992,-0.889999999999999,6.998970004335991,6.818970004335995,7.178970004335987,0.10471285480509017,0.08317637711026726,0.1288249551693137,9.976311574843761,6.591283692781672,15.099758602008981,good
J11083905-7716042,4060.0,0.33,M14,186.9699095511166,0.07598530806880352,-0.07575749056067438,-0.13575749056067443,0.004242509439325717,6.778970004335996,6.518970004336001,7.04897000433599,0.8399288707172934,0.7315474645476905,1.009816608871769,6.011322173086745,3.303467240037847,11.193605692840954,good
J11083952-7734166,2935.0,0.07,M16a,67.58087247937524,0.016118095650958324,-0.9899999999999991,-1.0499999999999992,-0.909999999999999,6.168970004336009,5.938970004336014,6.568970004336,0.10232929922807563,0.08912509381337473,0.12302687708123843,1.4756046133331586,0.8689004143746774,3.706551206504429,good
J11085090-7625135,3060.0,0.03,M16b,70.45910384561783,0.006907755278982137,-0.919999999999999,-1.0099999999999991,-0.819999999999999,6.6489700043359985,6.478970004336002,6.808970004335995,0.12022644346174155,0.09772372209558126,0.15135612484362118,4.456254690668519,3.012797930371673,6.441247758465318,good
J11085367-7521359,3705.0,0.19,M16b,170.62155539085884,0.04374911676688688,-0.28999999999999854,-0.4099999999999986,-0.1699999999999984,6.758970004335996,6.468970004336002,7.078970004335989,0.5128613839913666,0.3890451449942819,0.6760829753919843,5.740768107484114,2.9442182767778333,11.994164595096638,good
J11085464-7702129,3780.0,0.13,M16a,174.07543303034996,0.029933606208922603,-0.18999999999999842,-0.2699999999999984,-0.09999999999999831,7.088970004335989,6.808970004335995,7.368970004335983,0.6456542290346579,0.5370317963702547,0.7943282347242846,12.273544578424312,6.441247758465318,23.38675706435799,good
J11085497-7632410,3060.0,0.027,M16b,70.45910384561783,0.006216979751083925,-0.929999999999999,-1.0199999999999991,-0.829999999999999,6.688970004335998,6.5089700043360015,6.848970004335994,0.11748975549395321,0.09549925860214378,0.1479108388168211,4.886186104778815,3.2282711451731485,7.062687723113372,good
